"Index","Current","Pt. Change","% Change"
"","",,
"S&P BSE SENSEX","36,085.05","-198.20","-0.55"
"",,,
"","",,
"S&P BSE SENSEX 50","11,540.44","-64.32","-0.55"
"","",,
"S&P BSE SENSEX Next 50","36,385.07","-236.99","-0.65"
"","",,
"S&P BSE 100","11,475.73","-65.67","-0.57"
"","",,
"S&P BSE Bharat 22 Index","3,851.60","-5.79","-0.15"
"","",,
